Date,Time,InternalTemperature,ExternalTemperature
2022-05-26,2022-05-26 20:00:00.000000000,86.36,61.3
2022-05-27,2022-05-27 14:00:00.000000000,88.66275862068966,62.14275862068968
2022-05-28,2022-05-28 14:00:00.000000000,88.62551724137931,60.533793103448325
2022-05-29,2022-05-29 14:00:00.000000000,90.72965517241379,69.94965517241381
2022-05-30,2022-05-30 13:58:51.250000128,91.25625,73.25277777777781
2022-05-31,2022-05-31 14:00:00.000000000,94.24275862068966,75.43517241379307
2022-06-01,2022-06-01 14:00:00.000000000,93.30179310344828,76.83034482758632
2022-06-02,2022-06-02 14:00:00.000000000,92.94427586206896,75.83862068965513
2022-06-03,2022-06-03 14:00:00.000000000,92.35958620689655,64.29517241379311
2022-06-04,2022-06-04 14:00:00.000000000,91.66937931034482,67.00068965517242
2022-06-05,2022-06-05 14:00:00.000000000,91.81958620689656,66.26275862068968
2022-06-06,2022-06-06 14:00:00.000000000,91.62096551724139,66.65103448275867
2022-06-07,2022-06-07 14:00:00.000000000,92.57558620689655,67.54068965517241
2022-06-08,2022-06-08 14:00:00.000000000,92.76924137931034,70.94827586206898
2022-06-09,2022-06-09 14:25:00.000000000,93.27466666666666,68.3037037037037
2022-06-10,2022-06-10 14:00:00.000000000,91.7711724137931,67.17517241379312
2022-06-11,2022-06-11 14:00:00.000000000,92.19572413793102,68.62896551724134
2022-06-12,2022-06-12 14:00:00.000000000,92.97531034482759,74.79724137931035
2022-06-13,2022-06-13 14:00:00.000000000,93.30179310344828,78.97448275862072
2022-06-14,2022-06-14 14:00:00.000000000,92.05048275862069,73.59862068965516
2022-06-15,2022-06-15 14:00:00.000000000,94.37310344827587,80.92275862068963
2022-06-16,2022-06-16 13:57:08.571428608,93.24757142857143,80.51285714285713
2022-06-17,2022-06-17 14:00:00.000000000,91.24855172413793,72.65586206896556
2022-06-18,2022-06-18 14:00:00.000000000,90.46275862068966,68.60206896551722
2022-06-19,2022-06-19 14:00:00.000000000,89.204,66.51586206896553
2022-06-20,2022-06-20 14:00:00.000000000,88.16620689655173,70.09448275862069
2022-06-21,2022-06-21 08:42:30.000000000,85.82,64.4888888888889
2022-06-22,2022-06-22 17:07:30.000000000,93.56,79.85
2022-06-23,2022-06-23 11:55:12.765957632,91.64319148936171,74.89255319148936
2022-06-24,2022-06-24 11:45:00.000000256,88.90175824175823,71.34285714285713
2022-06-26,2022-06-26 08:00:00.000000000,87.08,65.5
2022-06-27,2022-06-27 16:17:30.000000000,92.27199999999999,73.41555555555554
2022-06-28,2022-06-28 10:07:30.000000000,83.58384615384615,63.915384615384596
2022-06-29,2022-06-29 15:15:00.000000000,91.69269565217391,74.4904347826087
2022-06-30,2022-06-30 14:00:00.000000000,90.86496551724137,66.12689655172433
