Time,InternalTemperature,ExternalTemperature
2022-05-26 15:15:00,80.96,59.7
2022-05-26 15:20:00,80.42,59.7
2022-05-26 15:25:00,80.06,59.9
2022-05-26 15:30:00,80.06,60.0
2022-05-26 15:35:00,80.24,60.1
2022-05-26 15:40:00,80.42,60.2
2022-05-26 15:45:00,80.42,60.2
2022-05-26 15:50:00,80.6,60.2
2022-05-26 15:55:00,80.6,60.2
2022-05-26 16:00:00,80.42,60.2
2022-05-26 16:05:00,80.42,60.3
2022-05-26 16:10:00,80.24,60.3
2022-05-26 16:15:00,80.42,60.3
2022-05-26 16:20:00,80.24,60.4
2022-05-26 16:25:00,80.06,60.4
2022-05-26 16:30:00,80.06,60.4
2022-05-26 16:35:00,79.88,60.4
2022-05-26 16:40:00,79.88,60.5
2022-05-26 16:45:00,79.88,60.4
2022-05-26 16:50:00,80.06,60.4
2022-05-26 16:55:00,80.24,60.5
2022-05-26 17:00:00,80.42,60.5
2022-05-26 17:05:00,80.24,60.6
2022-05-26 17:10:00,80.24,60.6
2022-05-26 17:15:00,80.24,60.7
2022-05-26 17:20:00,80.24,60.7
2022-05-26 17:25:00,80.42,60.7
2022-05-26 17:30:00,80.24,60.9
2022-05-26 17:35:00,80.42,61.0
2022-05-26 17:40:00,80.6,61.2
2022-05-26 17:45:00,80.6,61.3
2022-05-26 17:50:00,80.6,61.4
2022-05-26 17:55:00,80.78,61.4
2022-05-26 18:00:00,81.14,61.3
2022-05-26 18:05:00,81.32,61.4
2022-05-26 18:10:00,81.32,61.4
2022-05-26 18:15:00,81.14,61.4
2022-05-26 18:20:00,80.96,61.4
2022-05-26 18:25:00,81.14,61.4
2022-05-26 18:30:00,81.14,61.4
2022-05-26 18:35:00,80.96,61.5
2022-05-26 18:40:00,81.14,61.5
2022-05-26 18:45:00,81.14,61.5
2022-05-26 18:50:00,80.96,61.7
2022-05-26 18:55:00,80.96,61.7
2022-05-26 19:00:00,80.96,61.8
2022-05-26 19:05:00,80.96,61.8
2022-05-26 19:10:00,81.14,61.8
2022-05-26 19:15:00,80.96,61.7
2022-05-26 19:20:00,80.96,61.7
2022-05-26 19:25:00,80.78,61.7
2022-05-26 19:30:00,81.14,61.7
2022-05-26 19:35:00,81.14,61.6
2022-05-26 19:40:00,80.96,61.5
2022-05-26 19:45:00,80.78,61.4
2022-05-26 19:50:00,80.78,61.3
2022-05-26 19:55:00,81.14,61.3
2022-05-26 20:00:00,81.32,61.3
2022-05-27 08:00:00,81.32,55.1
2022-05-27 08:05:00,77.36,55.3
2022-05-27 08:10:00,77.0,55.3
2022-05-27 08:15:00,77.0,55.3
2022-05-27 08:20:00,77.0,55.3
2022-05-27 08:25:00,77.0,55.3
2022-05-27 08:30:00,71.78,55.7
2022-05-27 08:35:00,77.36,56.0
2022-05-27 08:40:00,77.72,56.4
2022-05-27 08:45:00,78.08,56.4
2022-05-27 08:50:00,77.72,56.8
2022-05-27 08:55:00,77.72,57.3
2022-05-27 09:00:00,77.9,57.8
2022-05-27 09:05:00,78.08,57.9
2022-05-27 09:10:00,78.08,58.2
2022-05-27 09:15:00,78.26,58.2
2022-05-27 09:20:00,78.62,58.6
2022-05-27 09:25:00,78.98,58.7
2022-05-27 09:30:00,79.7,58.9
2022-05-27 09:35:00,80.24,59.3
2022-05-27 09:40:00,80.42,59.6
2022-05-27 09:45:00,81.14,59.6
2022-05-27 09:50:00,81.14,60.3
2022-05-27 09:55:00,81.32,60.8
2022-05-27 10:00:00,81.5,61.8
2022-05-27 10:05:00,81.5,62.0
2022-05-27 10:10:00,81.68,62.0
2022-05-27 10:15:00,82.04,62.0
2022-05-27 10:20:00,82.22,62.3
2022-05-27 10:25:00,82.76,62.5
2022-05-27 10:30:00,82.94,62.7
2022-05-27 10:35:00,83.48,62.9
2022-05-27 10:40:00,83.84,62.9
2022-05-27 10:45:00,83.84,63.5
2022-05-27 10:50:00,83.84,64.5
2022-05-27 10:55:00,83.66,66.5
2022-05-27 11:00:00,83.66,66.8
2022-05-27 11:05:00,83.66,66.5
2022-05-27 11:10:00,83.66,66.5
2022-05-27 11:15:00,83.48,66.3
2022-05-27 11:20:00,83.3,65.9
2022-05-27 11:25:00,83.3,65.9
2022-05-27 11:30:00,83.66,66.8
2022-05-27 11:35:00,83.84,66.4
2022-05-27 11:40:00,83.84,66.4
2022-05-27 11:45:00,84.2,66.0
2022-05-27 11:50:00,84.74,66.4
2022-05-27 11:55:00,85.28,66.9
2022-05-27 12:00:00,85.64,66.9
2022-05-27 12:05:00,85.64,66.9
2022-05-27 12:10:00,85.64,66.9
2022-05-27 12:15:00,85.46,67.8
2022-05-27 12:20:00,85.46,68.5
2022-05-27 12:25:00,85.28,69.6
2022-05-27 12:30:00,85.28,69.6
2022-05-27 12:35:00,85.1,69.6
2022-05-27 12:40:00,85.1,69.1
2022-05-27 12:45:00,85.1,69.1
2022-05-27 12:50:00,85.46,68.4
2022-05-27 12:55:00,85.46,67.5
2022-05-27 13:00:00,85.46,66.7
2022-05-27 13:05:00,85.64,66.3
2022-05-27 13:10:00,85.46,66.3
2022-05-27 13:15:00,85.46,66.2
2022-05-27 13:20:00,85.46,65.6
2022-05-27 13:25:00,85.46,65.3
2022-05-27 13:30:00,85.64,65.0
2022-05-27 13:35:00,86.0,64.8
2022-05-27 13:40:00,85.82,64.8
2022-05-27 13:45:00,85.82,65.2
2022-05-27 13:50:00,86.0,65.8
2022-05-27 13:55:00,86.18,66.7
2022-05-27 14:00:00,86.18,66.4
2022-05-27 14:05:00,86.0,65.2
2022-05-27 14:10:00,86.0,65.2
2022-05-27 14:15:00,86.0,64.3
2022-05-27 14:20:00,86.0,63.4
2022-05-27 14:25:00,86.0,63.4
2022-05-27 14:30:00,85.82,63.3
2022-05-27 14:35:00,85.64,63.3
2022-05-27 14:40:00,85.64,63.9
2022-05-27 14:45:00,85.82,63.9
2022-05-27 14:50:00,85.82,64.6
2022-05-27 14:55:00,85.64,64.7
2022-05-27 15:00:00,85.46,64.3
2022-05-27 15:05:00,85.46,64.3
2022-05-27 15:10:00,85.64,64.3
2022-05-27 15:15:00,85.64,64.7
2022-05-27 15:20:00,85.82,64.9
2022-05-27 15:25:00,85.82,64.7
2022-05-27 15:30:00,85.82,64.4
2022-05-27 15:35:00,86.0,64.1
2022-05-27 15:40:00,85.82,64.1
2022-05-27 15:45:00,85.82,63.6
2022-05-27 15:50:00,85.64,63.1
2022-05-27 15:55:00,85.64,63.1
2022-05-27 16:00:00,85.46,63.0
2022-05-27 16:05:00,85.64,62.3
2022-05-27 16:10:00,85.46,62.3
2022-05-27 16:15:00,85.1,61.4
2022-05-27 16:20:00,85.1,60.5
2022-05-27 16:25:00,84.74,60.2
2022-05-27 16:30:00,84.74,59.6
2022-05-27 16:35:00,84.56,59.4
2022-05-27 16:40:00,84.38,59.4
2022-05-27 16:45:00,84.02,59.0
2022-05-27 16:50:00,83.48,58.3
2022-05-27 16:55:00,83.3,58.1
2022-05-27 17:00:00,83.12,58.1
2022-05-27 17:05:00,82.94,58.3
2022-05-27 17:10:00,82.76,58.3
2022-05-27 17:15:00,82.76,58.5
2022-05-27 17:20:00,82.76,58.6
2022-05-27 17:25:00,82.94,58.8
2022-05-27 17:30:00,82.94,59.1
2022-05-27 17:35:00,82.94,59.7
2022-05-27 17:40:00,83.3,59.7
2022-05-27 17:45:00,83.48,60.4
2022-05-27 17:50:00,83.66,61.0
